Filename,E-Hi Events,E-Lo Events,ZCal Events,Total Events
20180101-054547.root,41,58,58,381
20180101-055545.root,51,45,45,376
20180101-060550.root,60,68,68,465
20180101-062545.root,41,49,49,377
20180101-063547.root,48,61,61,394
20180101-064719.root,34,45,45,318
20180101-065548.root,52,46,46,381
20180101-070551.root,46,42,42,332
20180101-071558.root,48,46,46,376
20180101-072600.root,36,28,28,2538
20180101-075428.root,4,5,5,44
20180101-075554.root,53,39,39,375
20180101-080556.root,42,51,51,378
20180101-081555.root,48,49,49,382
20180101-082553.root,39,52,52,379
20180101-083557.root,44,40,40,302
20180101-090602.root,43,47,47,372
20180101-091606.root,48,49,49,380
20180101-092602.root,53,55,55,393
20180101-093601.root,37,36,36,329
20180101-095245.root,12,10,10,109
20180101-095608.root,36,51,51,372
20180101-100606.root,52,53,53,390
20180101-101607.root,50,36,36,369
20180101-104740.root,45,46,46,331
20180101-105611.root,39,51,51,370
20180101-110612.root,43,37,37,364
20180101-111620.root,45,53,53,380
20180101-112616.root,43,47,47,622
20180101-115322.root,11,11,11,98
20180101-115616.root,53,51,51,386
20180101-120618.root,55,54,54,394
20180101-121623.root,34,43,43,328
20180101-122617.root,41,41,41,365
20180101-123615.root,59,40,40,385
20180101-124751.root,37,29,29,307
20180101-125625.root,36,44,44,327
20180101-130618.root,38,32,32,354
20180101-131619.root,31,42,42,359
20180101-132623.root,57,42,42,383
20180101-133629.root,45,30,30,358
20180101-140626.root,50,43,43,379
20180101-141633.root,54,40,40,378
20180101-142628.root,56,36,36,377
20180101-143636.root,39,30,30,313
20180101-144759.root,50,43,43,334
20180101-145630.root,36,33,33,354
20180101-150633.root,59,49,49,392
20180101-151637.root,37,39,39,358
20180101-152635.root,31,23,23,274
20180101-153632.root,36,44,44,364
20180101-155405.root,14,14,14,94
20180101-155641.root,48,37,37,369
20180101-160637.root,52,52,52,390
20180101-161645.root,33,33,33,311
20180101-162642.root,32,35,35,290
